案類,發生日期,發生地點
搶奪,0930315 1430,台中市西屯區中清路154巷63弄4號
搶奪,0930316 0500,台中市西區後龍與民權路口路
搶奪,0930316 0830,台中市西屯區西屯路惠來路口
搶奪,0930317 0330,台中市北屯區松強里與台中縣交界路
搶奪,0930318 0100,台中市南屯區惠中路與大墩四街口
搶奪,0930318 1820,台中市中區自由路2段4巷
搶奪,0930319 1600,台中市西屯區龍門路黎明路口
搶奪,0930319 2230,台中市中區中正繼光路
搶奪,0930320 1755,台中市南屯區向上路與永春東七路口
搶奪,0930321 0815,台中市南屯區黎明路與五權路口
搶奪,0930321 0910,台中市南屯區南屯路2段691號
搶奪,0930322 1740,台中市南區和平里忠明南路730巷71巷口
搶奪,0930322 1900,台中市中區公園與市府路口
搶奪,0930323 1212,台中市西屯區天水東街天水中街口
搶奪,0930323 1300,台中市南屯區精誠路與大墩六街口
搶奪,0930325 0100,台中市北屯區陳平路131號
搶奪,0930325 1200,台中市西區朝陽街
搶奪,0930325 1405,台中市北屯區興安路與遼陽五街口
搶奪,0930325 1630,台中市南屯區惠文路587號
搶奪,0930326 1940,台中市南屯區向上路與大觀路口
搶奪,0930327 1530,台中市西屯區福上巷251弄36號
搶奪,0930328 1400,台中市西區忠明南路與向上北路口
搶奪,0930328 1550,台中市南屯區大聖街與大墩12街口
搶奪,0930328 1950,台中市西屯區東興路大隆路口
搶奪,0930330 1315,台中市北區武昌南街、陝西東三街
搶奪,0930401 0000,台中市西屯區漢口路與西屯路口
搶奪,0930401 1210,台中市西屯區朝富路市政北二路口
搶奪,0930402 1217,台中市西區林森路
搶奪,0930403 2050,台中市中區中山三民路
搶奪,0930404 2010,台中市北區太平路22號
搶奪,0930406 2210,台中市西屯區漢口路寧夏路口
搶奪,0930407 1330,台中市中區三民民權路
搶奪,0930407 2110,台中市西屯區協和里工業16路
搶奪,0930408 2035,台中市南屯區大同街與大墩五街口
搶奪,0930409 2020,台中市南屯區公益路與大平路
搶奪,0930410 0250,台中市西屯區長安路2段37號
搶奪,0930412 0955,台中市北區忠明、西屯
搶奪,0930412 1140,台中市西區自治街21巷
搶奪,0930414 2045,台中市西屯區長安路2段323號
搶奪,0930416 1300,台中市西區林森柳川西路
搶奪,0930416 1600,台中市南屯區文心南三路與大墩南路
搶奪,0930417 0915,台中市北區太平路22號
搶奪,0930417 1025,台中市南屯區黎明路與永春東路口
搶奪,0930417 1910,台中市東區新庄里復興路與互助街口
搶奪,0930419 1155,台中市北屯區大連路2段131號
搶奪,0930419 1220,台中市西區民權路177巷22號
搶奪,0930422 1400,台中市西屯區大墩路935號
搶奪,0930422 2210,台中市南區復興路與忠明南路口
搶奪,0930423 0750,台中市南屯區三厝街與干城街口
搶奪,0930424 1430,台中市南屯區樂田巷10號
搶奪,0930425 0420,台中市南屯區精誠南與南屯路口
搶奪,0930426 0140,台中市南屯區文心南五路250號
搶奪,0930426 1023,台中市南區復興路1段207巷
搶奪,0930426 1115,台中市北屯區北京里太原路3段352巷19號前樓
搶奪,0930426 1410,台中市南屯區公益路與大光路口
搶奪,0930426 1530,台中市北屯區遼寧路1段162號之前
搶奪,0930426 1600,台中市南屯區公益路與大墩路口
搶奪,0930426 1730,台中市北屯區東光里北屯路266號
搶奪,0930426 2230,台中市西區明義街與長春口
搶奪,0930427 0140,台中市北區三民 路3段313號
搶奪,0930427 1850,台中市北屯區平德里河北路與北平路口
搶奪,0930427 2300,台中市西區英才路(文化中心)
搶奪,0930429 1030,台中市北區益華街18號
搶奪,0930429 1220,台中市南區西川里17鄰崇倫北街198號前樓
搶奪,0930429 1345,台中市北區健行、梅川東
搶奪,0930429 1630,台中市北區陝西路119號
搶奪,0930429 2100,台中市北區中一中門口
搶奪,0930429 2105,台中市西屯區湳子巷9弄2號
搶奪,0930429 2215,台中市北區一中街
搶奪,0930430 1455,台中市北屯區文心路3段1047號
搶奪,0930430 1830,台中市北屯區四民路358-號7樓
搶奪,0930501 0000,台中市北區錦中街與雙十路口
搶奪,0930501 1820,台中市南區復興路與民生路口
搶奪,0930501 2040,台中市南屯區文心南五路與東興路口
搶奪,0930502 2140,台中市南屯區文心南五路與文心南五
搶奪,0930503 0400,台中市北屯區新平里26鄰中清路105巷2弄1號
搶奪,0930503 2147,台中市西屯區福康路5號
搶奪,0930504 1240,台中市東區合作里自強街5巷15號前樓
搶奪,0930504 1355,台中市南屯區黎明路與干城街口
搶奪,0930504 1610,台中市北區雙十路2段40巷
搶奪,0930504 1740,台中市北區文武街13號
搶奪,0930506 0410,台中市西屯區河南路青海路口
搶奪,0930506 2010,台中市北區健行.梅川東路
搶奪,0930507 1040,台中市中區建國與成功路口
搶奪,0930507 2010,台中市東區東興里仁和路355號前樓
搶奪,0930507 2119,台中市南區積善里興大路夜市旁
搶奪,0930508 0655,台中市西屯區安和路虹陽橋頭前
搶奪,0930508 2000,台中市北屯區大鵬路18巷
搶奪,0930509 1700,台中市北屯區松竹路2段160巷
搶奪,0930510 0800,台中市東區富仁里自由路與雙十路口
搶奪,0930510 1950,台中市中區雙十與光復路口
搶奪,0930510 2040,台中市南屯區東興路與公益路口
搶奪,0930511 1910,台中市中區中山路117號
搶奪,0930512 1230,台中市北區漢口路4段13號
搶奪,0930512 1540,台中市北屯區北京里進化北路64號
搶奪,0930512 1750,台中市南屯區河南路與公益路口
搶奪,0930512 1816,台中市西屯區東興路大墩20街口
搶奪,0930512 2030,台中市南區工學一街190號前樓
搶奪,0930513 0700,台中市西屯區福星北路僑光技術學院停車場前
搶奪,0930513 1415,台中市西區西屯路1段120號
搶奪,0930513 2045,台中市西區五權西三街95號
搶奪,0930514 0800,台中市北區力行路258號雙十國中
搶奪,0930515 0150,台中市西屯區福星路烈美街口
搶奪,0930515 0700,台中市西區忠義街2號
搶奪,0930516 2123,台中市東區干城里自由路3段280號前樓
搶奪,0930517 1930,台中市北屯區旅順路遼陽六街口
搶奪,0930517 2045,台中市西區五權七街58號
搶奪,0930518 2040,台中市北區天津一街12號
搶奪,0930523 2000,台中市北區太平路75巷
搶奪,0930523 2145,台中市北區五常.梅亭街口
搶奪,0930524 0925,台中市西區公益與中興街口
搶奪,0930524 1000,台中市南屯區黎明路與向上路口
搶奪,0930524 1705,台中市南區德義里建成路靠近國光路口
搶奪,0930525 0940,台中市東區東信里樂業路與東英路口
搶奪,0930525 0955,台中市南屯區公益路2段231號
搶奪,0930525 1945,台中市西屯區寶慶街上石北二巷口
搶奪,0930525 2130,台中市西屯區河南路2段301巷
搶奪,0930526 0550,台中市南區南平路與南平一街口
搶奪,0930526 1033,台中市西屯區西屯路2段104號
搶奪,0930526 1815,台中市東區富台里練武路與復興路五段口
搶奪,0930526 2230,台中市南屯區文心南五路
搶奪,0930528 1930,台中市西區中港與華美街口
搶奪,0930528 2010,台中市西屯區台中港路福安路口
搶奪,0930529 1300,台中市西屯區市政北五路惠中一街口
搶奪,0930601 1530,台中市東區東勢里玉皇街與福明街口
搶奪,0930601 1945,台中市北區雙十路1段10號之5
搶奪,0930602 1000,台中市北區育樂.雙十路口
搶奪,0930604 0758,台中市南區長榮里復興路3段497巷1號前樓
搶奪,0930605 0943,台中市北區學士路230號
搶奪,0930605 2150,台中市北屯區遼寧路特力屋出入口
搶奪,0930606 0020,台中市南區崇倫里忠明南路崇倫國中附近
搶奪,0930606 1430,台中市東區進德路進德國小前
搶奪,0930607 0005,台中市西屯區惠中路1段2號
搶奪,0930607 0610,台中市西屯區至善路16號
搶奪,0930608 0815,台中市南屯區東興路與大墩五街口
搶奪,0930608 1130,台中市北區雙十路與南京路口
搶奪,0930608 1820,台中市東區合作里進德北路92號前樓
搶奪,0930608 1945,台中市北屯區敦化路318號之前
搶奪,0930608 2005,台中市西屯區大容東街大墩17街口
搶奪,0930609 1030,台中市南屯區黎明路1段1058號
搶奪,0930609 1300,台中市西區美村與忠義街口
搶奪,0930609 1920,台中市北屯區三光里5鄰北屯路184號震旦通訊行
搶奪,0930609 2030,台中市東區富台里福仁街與進德路口
搶奪,0930610 0530,台中市南屯區文心南二路138號
搶奪,0930610 1430,台中市西屯區太原路1段261號
搶奪,0930612 1745,台中市北屯區遼寧.大連路
搶奪,0930613 1100,台中市東區富榮街38號前樓
搶奪,0930613 1120,台中市西屯區台中港路朝富路口
搶奪,0930613 1130,台中市南區福順里美村路與福德路口
搶奪,0930615 1515,台中市北屯區北屯路文心路口
搶奪,0930615 2000,台中市北區大雅.漢口路
搶奪,0930615 2050,台中市北區育才北路與一中街口
搶奪,0930617 1630,台中市西屯區逢甲路200巷17號
搶奪,0930617 1930,台中市北屯區昌平路口
搶奪,0930619 2230,台中市南區興大路與學府路口
搶奪,0930620 0900,台中市北屯區天津路4段253號之前
搶奪,0930620 2130,台中市西區中美與明義街口
搶奪,0930621 2005,台中市西屯區逢甲路73號
搶奪,0930622 1210,台中市北區一中街ˋ育才路
搶奪,0930622 1920,台中市南屯區向上路與河南路口
搶奪,0930623 2230,台中市北區永興.梅亭街
搶奪,0930624 0940,台中市東區二聖街53號前樓
搶奪,0930624 1330,台中市北區大雅.太平路
搶奪,0930624 2010,台中市西屯區上安路上明三街口
搶奪,0930624 2155,台中市東區十甲東路與樂業路口
搶奪,0930626 1455,台中市北區大雅.梅亭街口
搶奪,0930626 1600,台中市西區中華民生路
搶奪,0930626 2210,台中市西屯區惠來里市政北七路惠中二街口
搶奪,0930626 2230,台中市南屯區大墩三街159號
搶奪,0930627 0730,台中市北屯區昌平興安路
搶奪,0930628 2040,台中市北區雙十.精武路
搶奪,0930628 2045,台中市南區城隍里忠孝路與正義街口
搶奪,0930629 0535,台中市北區文昌東二街152號
搶奪,0930629 1835,台中市西屯區大聖街478號
搶奪,0930629 2000,台中市中區中華公園路
搶奪,0930630 1400,台中市南屯區公益路與大進街口
搶奪,0930630 1730,台中市南屯區黎明路南屯國小內
搶奪,0930630 2235,台中市西屯區黎明路上安路口
搶奪,0930701 0800,台中市北區健行崇德路
搶奪,0930701 1050,台中市南屯區文心南五路與豐偉路口
搶奪,0930701 2045,台中市北屯區中清路2段19號
搶奪,0930701 2200,台中市西區向上路中美街口
